2CA.33 1358.91,1820.12;1360.29,1814.18;1356.87,1813.39;1355.5,1819.33
2CA.35 1360.37,1813.83;1361.75,1807.89;1358.33,1807.1;1356.96,1813.04
2CA.37 1361.83,1807.54;1363.21,1801.6;1359.79,1800.81;1358.42,1806.75
2CA.39 1363.29,1801.25;1364.67,1795.31;1361.25,1794.52;1359.88,1800.46
2CA.41 1364.75,1794.96;1366.13,1789.02;1362.71,1788.22;1361.33,1794.17
2CA.43 1366.21,1788.67;1367.59,1782.73;1364.17,1781.93;1362.79,1787.88
2CA.45 1367.67,1782.38;1369.05,1776.44;1365.63,1775.64;1364.25,1781.59
2CA.47 1369.13,1776.09;1370.51,1770.14;1367.09,1769.35;1365.71,1775.29
2CA.49 1370.59,1769.8;1371.97,1763.85;1368.55,1763.06;1367.17,1769.0
2CA.51 1372.05,1763.5;1373.43,1757.56;1370.01,1756.77;1368.63,1762.71
2CA.53 1373.51,1757.21;1374.89,1751.27;1371.47,1750.48;1370.09,1756.42
2CA.55 1374.97,1750.92;1376.35,1744.98;1372.93,1744.19;1371.55,1750.13
2CA.57 1376.43,1744.63;1377.81,1738.69;1374.39,1737.9;1373.01,1743.84
2CA.59 1377.89,1738.34;1379.27,1732.4;1375.85,1731.61;1374.47,1737.55
2CA.61 1379.35,1732.05;1380.73,1726.11;1377.31,1725.32;1375.93,1731.26
2CA.63 1380.81,1725.76;1382.19,1719.82;1378.77,1719.03;1377.39,1724.97
2CA.65 1382.27,1719.47;1383.64,1713.53;1380.23,1712.73;1378.85,1718.68
2CA.67 1383.73,1713.18;1385.1,1707.24;1381.69,1706.44;1380.31,1712.39
2CA.69 1385.19,1706.89;1386.56,1700.94;1383.15,1700.15;1381.77,1706.09
2CA.71 1386.65,1700.6;1388.02,1694.65;1384.61,1693.86;1383.23,1699.8
2CA.73 1388.09,1694.3;1389.47,1688.36;1386.09,1687.57;1384.7,1693.52
2CA.75 1389.48,1688.33;1390.86,1682.39;1387.47,1681.6;1386.09,1687.54
2CA.77 1390.94,1682.04;1392.32,1676.1;1388.94,1675.31;1387.56,1681.25
2CA.79 1392.33,1676.06;1393.71,1670.12;1390.33,1669.33;1388.94,1675.28
3AA.01 1479.06,1253.91;1480.44,1247.97;1477.01,1247.17;1475.63,1253.11
3AA.03 1480.79,1246.45;1482.17,1240.51;1478.75,1239.71;1477.37,1245.65
3AA.05 1482.26,1240.16;1483.63,1234.22;1480.21,1233.42;1478.83,1239.36
3AA.07 1483.64,1234.18;1485.02,1228.24;1481.6,1227.45;1480.22,1233.39
3AA.09 1485.1,1227.89;1486.48,1221.95;1483.06,1221.16;1481.68,1227.1
3AA.11 1486.49,1221.92;1487.87,1215.98;1484.45,1215.18;1483.07,1221.12
3AA.13 1487.95,1215.63;1489.33,1209.68;1485.9,1208.89;1484.53,1214.83
3AA.15 1489.41,1209.34;1490.79,1203.39;1487.36,1202.6;1485.98,1208.54
